date,abstract,title,link
,"Artificial Intelligence (AI) has the potential to revolutionize the way we predict and manage energy generation from solar and wind sources. It can greatly enhance the accuracy and scalability of energy prediction in solar and wind power systems. The implementation of advanced machine learning techniques can optimize the performance of these renewable energy systems and predict the variability of energy production. AI-powered algorithms can analyze data from various sources such as weather forecasts and historical energy production data to predict energy generation with increased precision, allowing for optimization of the system's operation. Furthermore, AI can also predict energy demand and adjust energy production, accordingly, resulting in reduced energy waste and increased system efficiency. As the demand for renewable energy continues to rise, the integration of AI in this field becomes increasingly crucial in ensuring a sustainable and dependable energy future. In this research, we investigate the utilization of AI techniques for evaluating the generation of hydrogen from solar and wind power. The results of this study will provide insight into the potential of AI tools for forecasting hydrogen production from solar and wind energy. The amount of hydrogen produced from solar energy is up to 93.3 × 10<sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">3</sup>kg/km<sup xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xlink=""http://www.w3.org/1999/xlink"">2</sup>whereas estimated production from wind is 6.7 kg/day. The comparison of the performance of the different machine learning models used in the study will help to identify the most effective method for forecasting hydrogen production in this context. Additionally, the study aims to contribute to the growing body of knowledge on the application of AI in the field of renewable energy and its potential to improve the efficiency, scalability, and reliability of energy systems.",Investigating the Energy Production through Sustainable Sources by Incorporating Multifarious Machine Learning Methodologies,https://ieeexplore.ieee.org/document/10136677/
,"Sustainability, to describe it in simpler words, is a process of making things less bad. It is not a long-term solution even if it limits the destruction of the environment to a manageable level. Nevertheless, by just becoming sustainable, one cannot bring back what has been lost. The restoration approach is immediately required to fixing what has been broken by using renewable energy, reforestation and creating biodiversity gains. Redesigning our industrial system of production and consumption around the circular patterns of resource and energy use that we observe in mature ecosystems is a must and a complex endeavour. To create a truly regenerative economy challenges us to work with huge amounts of data. New techniques of data science and artificial intelligence are required in each step of the ecological design. This paper presents some examples of biomimicry in circular design and proposes techniques that integrate data science and artificial intelligence (AI) as tools to accelerate the transition towards the regenerative approach. AI, as an emergent `Fourth Industrial Revolution' technology, can support and accelerate the pace of human innovation to design the future urban developments, to enable innovation in cities. AI has the capability to create a step change, to support an effective economic system that is regenerative by design.",Sustainability Is Not Enough: Towards AI Supported Regenerative Design,https://ieeexplore.ieee.org/document/9198554/
,"Sustainability is a vast subject involving various research areas. Emerging technologies, through their development and the possibilities they offer, impact sustainability. In particular, Artificial Intelligence and Machine Learning have been trendy research subjects for almost a decade now. They offer a wide range of potential applications, including energy efficiency and Intelligent Transportation Systems, two key elements for Smart Cities. All these developments seem to put AI in a favorable position to build Sustainability. However, AI’s own ecological impact and carbon footprint is disastrous and drastic changes must be done if this technology is to be used in a sustainable future. This paper offers a short overview of AI potential for sustainability, in the context of Smart cities. Then the drawbacks of AI energy consumption are highlighted. New ways and methodologies are proposed to create greener AI.",AI Legitimacy for Sustainability,https://ieeexplore.ieee.org/document/9467431/
,"Artificial Intelligence (AI) is a rapidly advancing field.Novel machine learning methods combined with reasoning and search techniques have led us to reach new milestones: from computer vision, machine translation, and Go worldchampion level play, to self-driving cars. These ever-expanding AI capabilities open exciting avenues for advances in new domains. I will discuss our AI research for advancing scientific discovery for a sustainable future. In particular, I will talk about our research in a new interdisciplinary field, Computational Sustainability, which aims to develop computational models and methods to help balance the environmental, economic, and societal needs for a sustainable future. I will provide examples of computational sustainability problems, ranging from biodiversity conservation to multi-criteria strategic planning of hydropower dams in the Amazon basin and materials discovery for renewable energy materials. I will also highlight our work on AI to accelerate the discovery of new solar fuels materials. In this work, we propose an approach called Deep Reasoning Networks (DRNets), which requires only modest amounts of (unlabeled) data, in sharp contrast to standard deep learning approaches. DRNets reach superhuman performance for crystal-structure phase mapping, a core, long-standing challenge in materials science, enabling the discovery of solar-fuels materials. DRNets provide a general framework for integrating deep learning and reasoning for tackling challenging problems. Finally, I will highlight cross-cutting computational themes and challenges for AI",Keynote: AI for Scientific Discovery and a Sustainable Future,https://ieeexplore.ieee.org/document/10099237/
,"In the recent era, for most sustainable smart cities energy conservation is a major point of consideration as urbanization is been carried out at an exponential rate. Out of that most of the energy consumption is diverted toward households, and there is a huge scope for optimization of this energy. Hence predicting this household energy with the advancement of AI and Machine Learning techniques is considered a social contribution and area of interest for most researchers. But only predicting the energy consumption will not solve the problem of energy optimization for a city, it is also important to understand the factors responsible for such predictions so that all possible recourses could be carried out to those factors, and it becomes more accountable, trustworthy and justifiable its energy optimization decisions towards its all stakeholders. With the use of Explainable Artificial Intelligence (XAI) techniques such as LIME, SHAP is possible to improve the explainability of machine learning models. Here SHAP technique is adopted to understand the prediction model and identify mostly responsible factors for the energy consumption of households.",Explainable AI for predicting daily household energy usages,https://ieeexplore.ieee.org/document/10060217/
,"There are three main energy resources for energy production that is currently used by the countries can be listed as fossil fuels, renewable energy, and nuclear energy. Since the industrial revolution, the fundamental energy resource of the world is fossil sources. Due to their problems such as greenhouse gas emissions, production cost, etc., fossil fuels are not sustainable sources in terms of world ecology and economy. Developed countries of the world focused on using alternative energy resources like renewable energy and nuclear energy to produce green and sustainable energy for a better future. An assumption might be made about the relationship between the types of energy resources used by a country and its development level. In this study, we investigate the connection between the economic development of the countries and energy consumption patterns using a machine learning approach. We used a custom data set created by the combination of two separate data sets to deduce that relation by using the clustering method. It can be seen that developed countries are prone to cease the usage of fossil fuels and increase the energy produced by renewable and nuclear energy while underdeveloped or developing countries still rely mostly on fossil fuels. This trend among the developed countries has increased by the year. Additionally, we also wanted to see where Turkey stands among the selected countries and make an observation on its energy and economic development progress.",Investigating the Energy Production Trends of Countries and Its Relationship Between Economic Development,https://ieeexplore.ieee.org/document/9922684/
,"Nowadays, the world is subject to the development of science and technology, transforming all the old systems into new and more efficient ones, and power grids are the perfect example of this development. Conventional power grids are a source of frequent problems, including line losses that cause instability in the distribution of electricity and a huge impact on the environment, causing damage related to climate change. Addressing these problems is seen as an action to achieve sustainable development goals, to ensure a better future. Energy plays a role in improving these goals, which makes automation a very important tool for establishing a more intelligent and reliable distribution. Among these solutions are DC nanogrids, which have the ability to generate energy using their own renewable resources, even in remote areas thanks to artificial intelligence. They can be automatically regulated to prevent energy shortages. This work aims to intelligently manage the distribution of energy produced by several renewable sources in a DC nanogrid. To solve this problem and to ensure a good energy management we have opted to use Fuzzy logic method as artificial intelligence element that controls the energy management in the nanogrid. The simulation results obtained from the proposed algorithm show that it is able to effectively manage the balance between the renewable energy power produced by the nanogrid without causing power imbalance or disruption of the overall system.",Intelligent Energy Management for a Building DC Nanogrid,https://ieeexplore.ieee.org/document/10019027/
,"The water companies should provide services at the affordable tariffs for all people, irrespective of the water source, geographical area, size or complexity of water supply system. In order to contribute to the sustainability of water distribution infrastructure, tariffs should cover, in practice, at least the operating and maintenance costs. To obtain a lower water tariff, the water-energy nexus should be take into account. Thus, developing the innovative technological solutions which to allow new water pricing options and policy actions based on energy efficiency measures and Information and Communication Technologies (ICT) to implement the EU water policy represent a new research direction. The paper proposes an innovative solution represented by a software platform for a sustainable management of water supply systems which to include the advanced ICT solutions (Blockchain and Artificial Intelligence) and smart concepts (smart metering, demand response) with benefits both energy and water fields. The platform could lead to realize significant energy and savings through technical measures and a smart management, supplying the consumers with quality water at an affordable tariff considering the socio-economic factors.",ICT based Smart Management Solution to Realize Water and Energy Savings through Energy Efficiency Measures in Water Distribution Systems,https://ieeexplore.ieee.org/document/8679012/
,"Although smart grid concept has recently become a subject of academic studies; impacts of this concept appear in many areas of engineering. Today, the smart grid concept involves many subjects from the efficient use of electrical energy resources to the planned and programmed consumption of energy, from the integration of distributed renewable energy sources into the system to the domestic productive consumers (prosumers), which are much related to local or regional development. Smart grid concept, which emerges a product of interdisciplinary studies ranging to many fields of engineering such as power systems, control, artificial intelligence and communication, can be briefly viewed as a development process towards the internet of energy. Especially in recent years, the decrease in reserves of fossil-fueled energy sources has led researchers to find out new energy sources, more efficient and ecological production and distribution methods. In these studies, the energy sources, which are renewable, sustainable, and economical have become major priorities due to reducing carbon emissions. However, the scope of smart grid studies has been continuously enriched and it has begun to include the fundamental components of production-centered sustainable development models, which are the providing of low-cost production supplies, continuity of these supplies, efficiency in production and consumption, generation based on renewable or recyclable resources, and applications of ecological generation and consumption methods. In this context, the positive effects of smart grids on the regional development are expected to occur in the following topics: Smart city applications, intelligent transportation, renewable and local energy generation, smart homes and building concepts, energy efficient cities, control of carbon footprint, automated electricity, gas, water and waste networks, loss and leakage control, application of demand side energy management system to reduce power consumption, self-healing electricity distribution, smart energy pricing, smart energy storage are some emergent topics that can contribute to sustainable regional development models. Because, modern grid components developed within the scope of smart grid are expected to support sustainable production models via smart energy management and increasing efficiency, reducing the energy costs, improving energy continuity. In this study, a projection for possible contributions of smart grid concept with its continuously expanding scope to the sustainable regional development is discussed under several major headings.",Possible Contributions of Smart Grids to Regional Development of Countries,https://ieeexplore.ieee.org/document/8620772/
,"Summary form only given, as follows. The complete presentation was not made available for publication as part of the conference proceedings. Artificial Intelligence (AI) is a rapidly advancing field. Novel machine learning methods combined with reasoning and search techniques have led us to reach new milestones: from computer vision, machine translation, and Go and Chess world-champion level play using pure self-training strategies, to self-driving cars. These ever-expanding AI capabilities open up new exciting avenues for advances in new domains. I will discuss our AI research for advancing scientific discovery for a sustainable future. In particular, I will talk about our research in a new interdisciplinary field, Computational Sustainability, which has the overarching goal of developing computational models and methods to help manage the balance between environmental, economic, and societal needs for a sustainable future. I will provide examples of computational sustainability problems, ranging from biodiversity and wildlife conservation, to multi-criteria strategic planning of hydropower dams in the Amazon basin and materials discovery for renewable energy materials. I will also highlight cross-cutting computational themes and challenges for AI at the intersection of constraint reasoning, optimization, machine learning, multi-agent reasoning, citizen science, and crowd-sourcing.",Keynote 2 - Computational Sustainability: Computing for a Better World and a Sustainable Future,https://ieeexplore.ieee.org/document/9556305/
