,date,abstract,title,Unnamed: 0
0,"Volume 12, Issue 1, JanuaryâDecember 2021, 13","Modern image analysis techniques based on artificial intelligence (AI) have great potential to improve the quality and efficiency of diagnostic procedures in pathology and to detect novel biomarkers. Despite thousands of published research papers on applications of AI in pathology, hardly any research implementations have matured into commercial products for routine use. Bringing an AI solution for pathology to market poses significant technological, business, and regulatory challenges. In this paper, we provide a comprehensive overview and advice on how to meet these challenges. We outline how research prototypes can be turned into a product-ready state and integrated into the IT infrastructure of clinical laboratories. We also discuss business models for profitable AI solutions and reimbursement options for computer assistance in pathology. Moreover, we explain how to obtain regulatory approval so that AI solutions can be launched as in vitro diagnostic medical devices. Thus, this paper offers computer scientists, software companies, and pathologists a road map for transforming prototypes of AI solutions into commercial products.",Artificial Intelligence in Pathology: From Prototype to Product,
1,"Volume 45, June 2021, 100986","Driven by information technology, big data provides new development opportunities for city construction. People use multiple scientific advancements such as the Internet of Things (IoT) for data acquisition and Artificial Intelligence (AI) for big data analytics to enhance the integration and sharing of data and optimize the basic standards of smart cities. Past few years, the concept behind the Internet of Things has been a major research topic in the development of smart cities, education, industry, and commerce. Services and applications of IoT are the major factors for creating a sustainable urban life that is employed by smart cities. The stakeholders of smart cities become more aware, efficient, and interactive using Information and Communication Technology (ICT) in IoT. The applications of smart cities based on IoT have been increased in number which leads to production and increase in the amount of data and its processing. Moreover, the city stakeholders and governments take prior actions/precautions for processing the collected data from the IoT devices and predicting the future consequences for securing a sustainable environment. Artificial Intelligence is one of the key research techniques which several researchers have analysed and proved to be the best in improving the performance of detecting fire hazard in smart cities. In this research, a Deep Belief Network (DBN) with Recurrent LSTM Neural Network (R-LSTM-NN) is proposed for prediction of big data that are collected from smart cities based on IoT. Moreover, the proposed model mainly concentrates in predicting the fire hazard values that gathered from smart cities using IoT devices. The simulation results show that the proposed technique proves to be better when compared with other existing techniques in terms of accuracy, precision, recall, and F-1 score. The proposed model detects the fire outbreak with a 98.4% of accuracy that having 0.14% of minimal error rate. Furthermore, the proposed model can be used for various prediction problems that are faced by smart cities.",Big data and artificial intelligence based early risk warning system of fire hazard for smart cities,
2,"Volume 258, 10 June 2020, 120783","Industry 4.0 is the fourth industrial revolution. It is formed on the building blocks of Industrial Internet of Things, real-time data collection and predictive analytics using big data analytics, artificial intelligence, and cloud manufacturing. The complexity and value of Industry 4.0 is established by the existing research studies. Some of the research studies have proposed the design elements and contribution of Industry 4.0 to achieving sustainability objectives. This research delves deeper into this area to evolve a new research challenge on contribution of Industry 4.0 to sustainability accounting and reporting. Through a methodology of two focus group discussions and interviews, this research derived an empirical formulation presenting a mapping between Industry 4.0 attributes and selected material topics and their disclosures in Global Reporting Initiative framework. The empirical formulation divided the Industry 4.0 framework in India into three levels of maturity each mapped with the appropriate triple bottomline topics under the Global Reporting Initiative. This empirical formulation requires further research to establish its validity as it appears to be not-to-optimistic representation by the members of the two focus groups. The Interview respondents suggested cautious approach as AI-based predictive analytics and automation may need a long maturity path. Soft aspects of reluctance to complexity and new technology adoption may need continuous evolution of technical and other training programmes with the maturity of Industry 4.0 for sustainability accounting and reporting in an organisation.",Sustainability accounting and reporting in the industry 4.0,
3,"Volume 57, April 2021, 102225","Artificial Intelligence tools have attracted attention from the literature and business organizations in the last decade, especially by the advances in machine learning techniques. However, despite the great potential of AI technologies for solving problems, there are still issues involved in practical use and lack of knowledge as regards using AI in a strategic way, in order to create business value. In this context, the present study aims to fill this gap by: providing a critical literature review related to the integration of AI to organizational strategy; synthetizing the existing approaches and frameworks, highlighting the potential benefits, challenges and opportunities; presenting a discussion about future research directions. Through a systematic literature review, research articles were analyzed. Besides gaps for future studies, a conceptual framework is presented, discussed according to four sources of value creation: (i) decision support; (ii) customer and employee engagement; (iii) automation; and (iv) new products and services. These findings contribute to both theoretical and managerial perspectives, with extensive opportunities for generating novel theory and new forms of management practices.",The strategic use of artificial intelligence in the digital era: Systematic literature review and future research directions,
4,"Volume 292, 15 June 2021, 116665","The United Nations (UN) have formulated seventeen Sustainable Development Goals (SDGs) and thus, humans were trying to traverse the sustainable path. Meanwhile, the COVID-19 pandemic has emerged and forced out the ephemeral conventional approaches. Thus, the post-COVID world indicates the need for sustainable development and strategies in par with the ecosystem. The authors propose this study as a guide to direct the post-pandemic scenario into the sustainable pathway by prioritizing energy sustainability to engage the actions for achieving the SDGs. The analysis in this study commences with the investigation of pronounced impacts in the energy sector with its influence on the progress towards sustainability. To pursue the path of energy sustainability, a qualitative analysis is performed in a parallel approach from the key viewpoint of the renewable and sustainable energy transition, digital transformation of the energy sector and energy affordability in the post-COVID world. A SWOT-AHP hybrid methodology is employed to identify the significance of each strategy or issues to be focused on immediately in the post-COVID world. The study also discusses energy sustainability from political bodies and policy makersâ perspective, and the actual scenario where we are headed is revealed with the aid of process-tracing method. Furthermore, a novel quantitative analysis is established to represent the SDGâs interaction and the result shows that the SDG 7 is the underpinning goal in relative to other SDGs. In context with it, the mapping of energy sustainability to the sustainable world is accomplished. The ultimate inference from envisioning the SDGs through energy sustainability shows that a sustainable world would result after the pandemic. However, the changes in the energy market, investment preferences and more importantly, the decisions influenced by the political bodies in the post-COVID-world is decisive in achieving the same in a stipulated time frame.",Envisioning the UN Sustainable Development Goals (SDGs) through the lens of energy sustainability (SDG 7) in the post-COVID-19 world,
5,"Volume 2, December 2021, 100035","Smart home technologies (SHT) refer to devices that provide some degree of digitally connected, automated, or enhanced services to household occupants. Smart homes have become prominent in recent technology and policy discussions about energy efficiency, climate change, and the sustainability of buildings. Nevertheless, how might culture shape the diffusion and use of the technologies used in smart homes? What cultural barriers may impede their adoption, or embed more carbon-intensive lifestyles? Lastly, do smart home technologies truly promote sustainability goals? Based on an extensive original dataset involving expert interviews in four countriesâJapan, the United Arab Emirates, the United Kingdom, and the United Statesâand original media content analysis, this study explores the cultural aspects of smart home technology adoption as well as the consequent impacts on sustainability. In doing so, the study elaborates on an array of social, technical, political, economic and environmental dimensions of smart home technology diffusion, with clear implications for research, policy, and technology development. In this sense, we call for more comprehensive, progressive, innovative and sensitive technology design so as to advance SHT adoption and fulfill some of the sustainability and climate objectives their advocates continually promise.","Culture, energy and climate sustainability, and smart home technologies: A mixed methods comparison of four countries",
6,"Volume 146, August 2021, 111153","Energy utilization throughout the world is expanding at an alarming rate. This has just demonstrated its effect on the consumption of fuel resources and natural concerns (a drastic atmospheric deviation and debilitating of the O
3
layer). Positively, this heightening propensity of energy inadequacy will get disturbed later on. Effectiveness upgrade activities are viewed as the necessary arrangement in decreasing energy usage and ultimately opposing the worldwide natural effects of the all-out world energy produced, ventilation system, particularly the axial fans, burn-through about 20%. Hence, the essential focus on worldwide energy policy-makers is to upgrade energy effectiveness in the ventilation system. According to the studies, striking energy investment funds can be refined by controlling the ventilation system speed utilizing VFDs. Therefore, studies and investigations center principally around VFD control strategies to improve the ventilation system effectiveness. This article gave state-of-the-artwork on the ventilation system and VSD that reduces the ventilation systemâs overall energy consumption. Various energy efficiency strategies, selection of various components, and intelligent flow prediction techniques are represented in this article. Finally, the prospect encounters of AI-based models employed in the environmental area are discussed and proposed.",A comprehensive review of energy-efficiency of ventilation system using Artificial Intelligence,
7,"Volume 150, October 2021, 111409","Energy Internet (EI) envisions a future energy system with sustainable concerns of efficiency, economy and environment by achieving flexibility of multi-energy-integrated physical space, digitalization of data-driven cyber space and interaction of customer-aware social space. To systemically understand how EI manages energy, data and information flows, a comprehensive investigation from multi-angle perspectives is presented in this paper. The core building blocks are categorized into three-layered framework: energy-oriented network, communication-oriented network and service-oriented management. Furthermore, this paper provides a multi-disciplinary portrait of today's EI in terms of architecture, technologies, standards, services and platforms. Finally, open issues, future trends and challenges for development of sustainable EI are discussed.",A comprehensive overview of framework for developing sustainable energy internet: From things-based energy network to services-based management system,
8,"Volume 13, Issue 1, February 2021, Pages 248-266","Different artificial intelligence (AI) methods have been applied to various aspects of rock mechanics, but the fact that none of these methods have been used as a standard implies that doubt as to their generality and validity still exists. For this, a literature review of application of AI to the field of rock mechanics is presented. Comprehensive studies of the researches published in the top journals relative to the fields of rock mechanics, computer applications in engineering, and the textbooks were conducted. The performances of the AI methods that have been used in rock mechanics applications were evaluated. The literature review shows that AI methods have successfully been used to solve various problems in the rock mechanics field and they performed better than the traditional empirical, mathematical or statistical methods. However, their practical applicability is still an issue of concern as many of the existing AI models require some level of expertise before they can be used, because they are not in the form of tractable mathematical equations. Thus some advanced AI methods are still yet to be explored. The limited availability of dataset for the AI simulations is also identified as a major problem. The solutions to the identified problems and the possible future research focus were proposed in the study subsequently.",Application of artificial intelligence to rock mechanics: An overview,
9,"Volume 163, February 2021, 120434","This paper investigates the dependence structure and dynamics between artificial intelligence (AI) and carbon prices in the era of the 4th industrial revolution. Using the NASDAQ AI price index as a measure of AI and the European Energy Exchange EU emissions trading system (i.e. certificate prices for CO2 emissions) as a measure of carbon prices, we employ time-varying Markov switching copula models from December 2017 to July 2020 that provide evidence of a time-varying Markov tail dependence structure and dynamics between AI and carbon prices. The result shows a negative dependence structure for the return series between AI and carbon prices. However, the relationship is asymmetric, indicating that there is a stronger tail dependence in the lower tails instead of the upper tails. The finding implies that AI is a favourable hedge against carbon prices, therefore indicating the diversification benefits of AI. To understand the issue in detail, we examine the effect of economic policy uncertainty, equity market volatility, and the recent COVID-19 pandemic; we find their negative effect on the dynamic dependence structure between AI and carbon prices at lower and higher quantiles. This evidence offers additional support for the safe-haven ability of AI for carbon prices.",Markov-switching dependence between artificial intelligence and carbon price: The role of policy uncertainty in the era of the 4th industrial revolution and the effect of COVID-19 pandemic,
